id,fen,name,moves,ECO,parent,child,white,draws,black,bullet_avg,blitz_avg,rapid_avg,classical_avg,0_white,0_draws,0_black,1000_white,1000_draws,1000_black,1200_white,1200_draws,1200_black,1400_white,1400_draws,1400_black,1600_white,1600_draws,1600_black,1800_white,1800_draws,1800_black,2000_white,2000_draws,2000_black,2200_white,2200_draws,2200_black,2500_white,2500_draws,2500_black,bullet_white,bullet_draws,bullet_black,blitz_white,blitz_draws,blitz_black,rapid_white,rapid_draws,rapid_black,classical_white,classical_draws,classical_black
867,rnbqkbnr/ppp2ppp/8/3pp3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 1 3,"King's Gambit Declined: Falkbeer Countergambit, Milner-Barry Variation",1.e4 e5 2.f4 d5 3.Nc3,C31,,[1637],161977,12087,165212,1802.1,1764.7,1676.0,1572.1,4670,357,4136,7442,494,7438,11747,733,12215,21557,1232,22495,44710,2891,45751,62758,4799,62134,29716,2765,31028,3163,394,3753,73,6,51,71651,3706,67545,130979,9525,132197,29548,2422,31444,1450,140,1571
869,rnbqkbnr/ppp2ppp/8/3pp3/3PPP2/8/PPP3PP/RNBQKBNR b KQkq - 0 3,"King's Gambit Declined: Falkbeer Countergambit, Hinrichsen Gambit",1.e4 e5 2.f4 d5 3.d4,C31,,[],83167,6653,81671,1731.7,1776.4,1618.5,1556.3,4232,912,5048,5355,783,5646,6198,831,6803,9322,869,9959,18569,1248,18140,29169,2118,28397,20249,1746,19390,5618,645,5545,240,27,240,29097,1472,27848,67811,5283,66011,14419,1272,14553,937,98,1107
877,rnbqkbnr/pppp1ppp/8/8/4Pp2/2N5/PPPP2PP/R1BQKBNR b KQkq - 1 3,King's Gambit Accepted: Mason-Keres Gambit,1.e4 e5 2.f4 exf4 3.Nc3,C33,,[],55004,3571,44860,1539.0,1602.0,1408.8,1488.2,3787,340,3789,7001,502,6732,9892,679,9715,11837,707,11454,12240,699,10687,12389,692,9000,11891,852,8546,5991,539,4656,656,82,517,24545,1233,19984,45563,2948,36070,8693,563,8075,748,60,715
892,rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/5N2/PPPPQPPP/RNB1KB1R b KQkq - 1 3,"French: Chigorin, 2...c5 3.Nf3",1.e4 e6 2.Qe2 c5 3.Nf3,C00,,[],63527,7603,57226,2035.8,2071.1,1915.5,1818.5,331,20,432,601,42,783,1053,86,1392,2091,150,2459,5234,424,5015,13499,1356,12238,20698,2497,18339,19268,2681,16789,2737,495,2386,29873,2078,26737,56944,6694,50708,6103,819,6015,480,90,503
896,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/3P4/PPP1QPPP/RNB1KBNR b KQkq - 1 3,French: KIA 2.d3 d5 3.Qe2,1.e4 e6 2.d3 d5 3.Qe2,C00,,[],137587,13459,110643,2029.6,1972.3,1747.4,1672.6,2106,195,2091,2945,255,3095,4775,338,4772,9477,652,8925,16766,1288,15182,31062,2574,25570,38200,3714,29374,36924,4459,27791,5158,772,3801,123048,7481,93735,122817,11875,98066,13811,1461,11791,959,123,786
897,rnbqkbnr/1ppp1ppp/p3p3/8/2PPP3/8/PP3PPP/RNBQKBNR b KQkq - 0 3,"French Defense: St. George Defense, Three Pawn Attack",1.e4 e6 2.d4 a6 3.c4,C00,,[],180438,12995,144607,1598.6,1601.7,1606.6,1591.5,1434,84,1268,7298,488,6503,23965,1469,20926,49595,3175,40962,66247,4534,51311,44049,3193,34230,16540,1485,13775,3638,532,3905,369,76,424,40995,2001,38948,125671,8964,103750,51253,3765,38593,3514,266,2264
900,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/4B3/PPP2PPP/RN1QKBNR b KQkq - 1 3,French Defense: Alapin Gambit,1.e4 e6 2.d4 d5 3.Be3,C00,,[1661],142386,10662,121958,1817.6,1809.9,1728.6,1697.2,1595,187,1822,3199,261,3263,7135,415,6536,18006,956,15743,34763,2015,29652,46034,3412,38813,33416,3022,28483,9744,1199,8980,423,58,287,84676,4053,70393,119034,8766,101964,22364,1785,19135,988,111,859
908,rnbqkbnr/pppp2pp/4p3/5P2/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,French Defense: Franco-Hiva Gambit Accepted,1.e4 e6 2.d4 f5 3.exf5,C00,,[],86484,6718,64524,1747.4,1686.5,1480.0,1411.2,6657,751,5279,9920,804,6884,12796,836,7811,15841,858,9552,20213,1339,15791,28490,2472,23200,17815,1621,13260,3993,416,2621,132,12,100,61046,3906,58516,71801,5668,55992,13349,974,7996,1334,76,536
911,rnbqk1nr/ppppppbp/6p1/8/3PP3/3B4/PPP2PPP/RNBQK1NR b KQkq - 2 3,Modern Defense: Wind Gambit,1.e4 g6 2.d4 Bg7 3.Bd3,B06,,[],44256,3844,45250,1736.0,1690.0,1590.9,1522.7,1288,145,1669,2614,237,3076,4670,358,5363,8346,695,8957,13108,1089,13355,14723,1193,14261,6804,677,7157,1243,182,1476,32,8,44,58065,3664,62553,39330,3368,39939,4750,449,5034,176,27,277
917,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/5P2/PPPP2PP/RNBQK1NR b KQkq - 2 3,Barnes Opening: Walkerling,1.f3 e5 2.e4 Nf6 3.Bc4,C20,,[],80472,7216,108909,1371.1,1317.6,1256.4,1307.7,40471,4865,50909,45512,4721,59934,46878,4305,63317,35534,3208,50611,23295,1982,31038,15387,1367,19036,5530,555,7133,705,102,1059,21,2,32,24732,1348,30382,53816,4516,68258,24336,2435,36217,2320,265,4434
